0.011566
0.012950
0.011564
0.012100
0.011535
0.011773
0.012508
0.012575
0.011492
0.012053
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Avg ExTime: 0.0120116
Var ExTime: 2.6743582222222206e-07
