0.378702
0.377182
0.380430
0.377079
0.379249
0.380364
0.381285
0.381883
0.379946
0.384233
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Avg ExTime: 0.38003529999999996
Var ExTime: 4.682802677777748e-06
