0.379019
0.401661
0.376479
0.358450
0.360786
0.361061
0.364093
0.370340
0.366608
0.366911
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Avg ExTime: 0.3705408
Var ExTime: 0.00016411954751111108
