0.234600
0.218231
0.217378
0.221563
0.215442
0.249874
0.257369
0.223271
0.218384
0.217865
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Avg ExTime: 0.22739770000000004
Var ExTime: 0.00022287667601111132
