3.984609
3.851531
3.992484
3.944744
3.897521
3.992032
3.978375
4.008758
3.934459
3.904303
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Avg ExTime: 3.9488816
Var ExTime: 0.002646894510266673
