4.088150
3.849807
3.957405
3.990410
4.210671
4.015657
4.023824
4.022781
3.870689
4.048530
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Avg ExTime: 4.0077924
Var ExTime: 0.010713101260488864
